id,verificado,borrado,mensaje,timestamp
6a79cbc2e1c1a2d10f12a308,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbc331bc64b96b5c8c50,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbe46f0bad175d3481a4,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbe931bc64b96b5c977f,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbea31bc64b96b5c9a39,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbed6f0bad175d34f0cc,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbefe1c1a2d10f12aa74,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbf231bc64b96b5ca1dd,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbf26f0bad175d34f676,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
6a79cbf2e1c1a2d10f12af39,true,true,"Borrado correctamente",2026-08-11T12:00:20.898187600
